0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.232384227757105e-304,1.2582089125519706e-284,4.026119213044652e-266,1.8939224247006213e-248,1.0657180291078574e-231,6.62675475745117e-217,1.9499963890188918e-199,1.5142527396894509e-183,1.1798679561457749e-168,1.3363251606373602e-154,2.1709155636179828e-141,3.1905706683360434e-129,6.20241015193268e-118,5.115964915216603e-105,1.1505859451987445e-93,3.309706430046807e-83,1.437572845193314e-73,8.326626336949257e-65,2.1081580534961428e-57,4.879224599036875e-49,5.025611169046242e-41,4.193858709534973e-34,5.078619179601073e-28,9.393498894407082e-23,2.0067482915358784e-18,4.736381265970742e-18,1.567834880956716e-10,5.535260954786189e-7,0.0002464757738451828,0.019409591159840187,0.30059084984654383,0.9574607587773047,0.639432437384154,0.08987514369583312,0.00263121027708662,0.000015563114484932266,1.7298085769338388e-8,2.95333931614634e-12,2.6835870585529243e-17,1.5696332677386254e-21,6.121515544708858e-26,1.9137445322957284e-31,8.905677212869677e-38,6.527734578077905e-45,5.880162388599779e-53,1.7932445800978774e-63,5.0350734953824963e-70,7.275484955017459e-79,1.1816859199609806e-88,2.9839606618867567e-99,1.1499674326502588e-110,4.3703469567936884e-123,1.5431328800498782e-136,4.303516251605657e-148,2.828813032891435e-161,2.4674576957668672e-175,3.4320528742068843e-190,6.955725489722224e-206,9.437093253815386e-223,2.340856318911874e-239,1.2169854926323773e-255,4.136970016569415e-273,2.0543127394721998e-291,1.64225864155414e-310,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.63251997654027e-304,1.5602741851126976e-284,4.894507600175702e-266,2.2589966781283104e-248,1.2464004399067173e-231,7.337949802766806e-217,2.2375626427524477e-199,1.7056818017385682e-183,1.3091411051389527e-168,1.4623860041831757e-154,2.3445658245640649e-141,3.3970664967343066e-129,6.652142350078102e-118,5.374851358218532e-105,1.1963284787286843e-93,3.4109100153544636e-83,1.4698629655619114e-73,8.452894763726883e-65,2.12411596377825e-57,4.90453482818023e-49,5.025611169046239e-41,4.177656064738398e-34,5.044116788356035e-28,9.31127736046305e-23,1.9882086196731664e-18,3.8484481189394475e-18,1.5456868398864594e-10,5.466790290504594e-7,0.00024388183954015053,0.019252726222229875,0.29910832674931004,0.9564784979222768,0.6417813206339683,0.09070267343992619,0.002672358288415842,0.00001592231790190732,1.784830690969392e-8,3.0798072578234064e-12,2.863371769466868e-17,1.6381625404431801e-21,6.509626530021696e-26,2.062834229420054e-31,9.731098774592335e-38,7.239422933524809e-45,6.643226954873411e-53,2.354070272458825e-63,5.738816991413323e-70,8.477085178437927e-79,1.403296040164935e-88,3.6128396086207438e-99,1.4221272225998907e-110,5.561787110574121e-123,1.853873700481012e-136,5.5458093385777026e-148,3.7430167478463965e-161,3.3457823164426615e-175,4.772290201181643e-190,9.946310837711242e-206,1.411854992862449e-222,3.3669370005281766e-239,1.8363983855125749e-255,6.440332485976343e-273,3.295314617361559e-291,2.71748147030734e-310,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.209900642891825e-304,1.8914566133128883e-284,5.822276445744593e-266,2.6390628673828893e-248,1.4294052317625877e-231,8.009143443690298e-217,2.517486416199458e-199,1.886411450951548e-183,1.4276060666787716e-168,1.574305897570425e-154,2.4934109832597895e-141,3.5668185522946936e-129,7.010297762517083e-118,5.5677264796128164e-105,1.2278263960899412e-93,3.473106734314629e-83,1.486277922861279e-73,8.495405768958973e-65,2.1241159637782495e-57,4.879224599036862e-49,4.981839738452908e-41,4.129419839106489e-34,4.975806704156045e-28,9.175814705943613e-23,1.9607085684095027e-18,2.7736442831151405e-18,1.5166262907546638e-10,5.379952555301058e-7,0.00024067540478164425,0.019062502264228745,0.2973348878625092,0.9553036481625943,0.6445205718429188,0.09166500714205923,0.00272010512232316,0.000016338971835211906,1.8487604342337388e-8,3.2274141617993076e-12,3.076540254536498e-17,1.717144624414659e-21,6.964592163500278e-26,2.2393501656631764e-31,1.0718374998225212e-37,8.100677351268421e-45,7.581142963917924e-53,3.1236464409081845e-63,6.60606225818709e-70,9.988587631452374e-79,1.6868835038753746e-88,4.431855603708752e-99,1.7835516114628734e-110,7.187136421332876e-123,2.2479053900347648e-136,7.256023375277724e-148,5.034163504523893e-161,4.6156918466976456e-175,6.757441218559869e-190,1.4497306255917775e-205,2.156045611057613e-222,4.930088295880635e-239,2.827984008305662e-255,1.0242812779575335e-272,5.4051389517600106e-291,4.6021646697156e-310,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92394873510841e-304,2.2415296857183175e-284,6.777085493088142e-266,3.01973950490582e-248,1.60746619942371e-231,8.619434343320721e-217,2.7772600945798865e-199,2.0484120338893715e-183,1.5300381077022334e-168,1.6672326879755525e-154,2.611199287414513e-141,3.69321014103388e-129,7.2595140243065744e-118,5.686747231181216e-105,1.2438840810435098e-93,3.4940891782741835e-83,1.4862779228612788e-73,8.452894763726887e-65,2.1081580534961445e-57,4.804065739517771e-49,4.895429294746829e-41,4.050251093419367e-34,4.8750552968365395e-28,8.989424171394307e-23,1.9246121077068915e-18,1.6676313816447474e-18,1.4810429495594388e-10,5.275617980337051e-7,0.000236879856535329,0.018839804347662956,0.2952736019682458,0.9539292851227616,0.6476495362982004,0.09276540437881345,0.002774752340513929,0.000016816943767263032,1.922398923041969e-8,3.3985975767563927e-12,3.3284264048452937e-17,1.8077081642525744e-21,7.496697510516816e-26,2.448217612288197e-31,1.1900384798222855e-37,9.145483387417925e-45,8.738650329551808e-53,4.186062212048699e-63,7.679825384444029e-70,1.1902137908341849e-78,2.052581676078543e-88,5.5080077525077704e-99,2.2683836975331797e-110,9.430198494332191e-123,2.7494892678399383e-136,9.638503477270221e-148,6.881918283833726e-161,6.478226178863175e-175,9.743359302188292e-190,2.1537950273132435e-205,3.360506184911159e-222,7.348064369477431e-239,4.444262647978536e-255,1.6641865922975164e-272,9.065327394386052e-291,7.97653640819317e-310,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-324,1.1714520103630869e-303,2.596868629716288e-284,7.719047466360424e-266,3.384379402522481e-248,1.7726475090382578e-231,9.149176511716878e-217,3.0042025774120456e-199,2.1839553072775227e-183,1.6116491361191185e-168,1.7369425684929153e-154,2.69279295400945e-141,3.771173008928331e-129,7.387363177996173e-118,5.726981742114977e-105,1.2438840810435093e-93,3.47310673431463e-83,1.469862965561912e-73,8.326626336949255e-65,2.07658198798535e-57,4.681335279997804e-49,4.768596305869845e-41,3.941938786709221e-34,4.743855614533143e-28,8.755252950537175e-23,1.8803924610844483e-18,7.133597005898807e-19,1.439407848620166e-10,5.154821218453065e-7,0.0002325226676881086,0.018585665130758273,0.2929280664662211,0.9523474772963488,0.6511673640344543,0.0940075915940571,0.0028366477875074285,0.000017360732159091418,2.0066872501652284e-8,3.596258127463393e-12,3.625545580181151e-17,1.9111709808029074e-21,8.118399409446795e-26,2.6955088292050883e-31,1.3318346583557972e-37,1.0417207968453292e-44,1.0174089425574648e-52,5.661865909684783e-63,9.016371850741749e-70,1.434164504513527e-78,2.528050687054502e-88,6.93530548275445e-99,2.9256313246295093e-110,1.2562864886316954e-122,3.3901018466225646e-136,1.2998154518829784e-147,9.562167151812847e-161,9.25004832029209e-175,1.4305203044590622e-189,3.261359174922955e-205,5.3455564906571994e-222,1.1146090970366878e-238,7.127193155436568e-255,2.762121742972296e-272,1.5545803902158873e-290,1.414844454996024e-309,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-324,1.3504023925987536e-303,2.941148352403414e-284,8.603174485271782e-266,3.715198262891896e-248,1.916908743147484e-231,9.580914409040132e-217,3.1864690801340985e-199,2.286220295533963e-183,1.6684568515955771e-168,1.780157337322178e-154,2.7345387852171484e-141,3.797522670479748e-129,7.387363177996199e-118,5.686747231181211e-105,1.2278263960899429e-93,3.4109100153544614e-83,1.4375728451933136e-73,8.120332163438124e-65,2.0300561530680038e-57,4.514701936918565e-49,4.604547475215668e-41,3.806893088001665e-34,4.584762463168736e-28,8.477195083800908e-23,1.8286221751681857e-18,1.0964113042243708e-19,1.3922632624985436e-10,5.018744902783994e-7,0.0002276350900488522,0.018301258289532576,0.2903024129269653,0.9505493117894007,0.6550729685430077,0.09539577407397132,0.0029061888216832654,0.00001797553254103629,2.1027256628788922e-8,3.823838231281749e-12,3.975855020171668e-17,2.0290669447604225e-21,8.844793107071366e-26,2.988725456355004e-31,1.5024102502970618e-37,1.1971432243211644e-44,1.1963958426447962e-52,7.724882166742402e-63,1.0689715102045035e-69,1.7474916587144865e-78,3.151598505158883e-88,8.846841698794807e-99,3.826334430211325e-110,1.6991751341435288e-122,4.210325283359964e-136,1.7794995423061725e-147,1.3503772043538285e-160,1.343656675160085e-174,2.138579821869513e-189,5.033324003376283e-205,8.67730706360922e-222,1.720399990407072e-238,1.1663149361699025e-254,4.6830324708742166e-272,2.7257232438632756e-290,2.568207512796775e-309,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-324,1.5202155242495285e-303,3.2564829554821715e-284,9.382770187820376e-266,3.994673224023061e-248,2.0327435394271296e-231,9.900194256939305e-217,3.314068416258547e-199,2.3498600443158533e-183,1.697606045648244e-168,1.794799456337737e-154,2.7345387852171507e-141,3.771173008928335e-129,7.2595140243064855e-118,5.567726479612818e-105,1.1963284787286847e-93,3.309706430046805e-83,1.3904577888122974e-73,7.840028844926441e-65,1.9695558177440683e-57,4.309046030262052e-49,4.4073459402928584e-41,3.6480569112418478e-34,4.400810492459223e-28,8.15978529918229e-23,1.769961278353806e-18,5.869010277042752e-20,1.3402113196790707e-10,4.86870112856379e-7,0.0002222518061477283,0.017987891100350414,0.28740131536367874,0.9485249259586382,0.6593649798523258,0.09693464898659268,0.0029838260256147887,0.000018667314690781604,2.211796374718769e-8,4.085417743250744e-12,4.3890803205011894e-17,2.1631773886472266e-21,9.694194897554117e-26,3.3371596746307213e-31,1.7083102799099836e-37,1.3879734008738455e-44,1.4209155223692755e-52,1.0627246364260345e-62,1.2797789959462272e-69,2.1530879400518052e-78,3.9767196375177616e-88,1.1432768962237749e-98,5.0745071957896684e-110,2.333174031962645e-122,5.261951793656211e-136,2.4730908387209355e-147,1.9381727160371893e-160,1.9855291658547322e-174,3.255290131964106e-189,7.916939131509788e-205,1.4372854855381138e-221,2.701540234427444e-238,1.9474809081116445e-254,8.110357161644421e-272,4.886236004459152e-290,4.77048934934323e-309,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-324,1.6712991392394117e-303,3.524913354898967e-284,1.0013437718132788e-265,4.2070638885353395e-248,2.113822551222178e-231,1.0096216024303442e-216,3.37976714229976e-199,2.371463936383507e-183,1.6976060456482441e-168,1.7801573373221782e-154,2.692792954009449e-141,3.693210141033878e-129,7.010297762517087e-118,5.374851358218527e-105,1.1505859451987447e-93,3.1730305314153053e-83,1.3300219484841766e-73,7.493728233830351e-65,1.896331635483255e-57,4.070224542785885e-49,4.181745196217023e-41,3.468800155372352e-34,4.195418914231823e-28,7.808077796530365e-23,1.7051437816909139e-18,7.533782428698468e-19,1.2839016073016618e-10,4.70611116071044e-7,0.00021641054637901072,0.017646996084925582,0.284229996517814,0.9462635417446598,0.6640416917475888,0.0986294197303162,0.0030700674315380775,0.000019442912573465726,2.335390663938578e-8,4.385830044725142e-12,4.877126306338437e-17,2.3155674463010165e-21,1.0688870906753457e-25,3.7523575476829554e-31,1.9578320835578457e-37,1.6234763143294472e-44,1.7043576890975122e-52,1.4736887563888664e-62,1.547097238728009e-69,2.6824189530551124e-78,5.078747677134417e-88,1.4967298376436184e-98,6.824002584250092e-110,3.2523171153072226e-122,6.610036863204521e-136,3.4889046086955616e-147,2.827186543808805e-160,2.9846574962366984e-174,5.0451352722257786e-189,1.2690812477193192e-204,2.4290101450371924e-221,4.314968015256742e-238,3.317961190954811e-254,1.4347145788405847e-271,8.955211946729224e-290,9.067569624219487e-309,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-324,1.7943754098739195e-303,3.7300791116275045e-284,1.0457236493137115e-265,4.339874458789712e-248,2.155564616686383e-231,1.0162308489031088e-216,3.379767142299756e-199,2.3498600443158508e-183,1.668456851595576e-168,1.7369425684929163e-154,2.6111992874145167e-141,3.5668185522946936e-129,6.652142350078132e-118,5.115964915216603e-105,1.0922974683736569e-93,3.0055397461386596e-83,1.2581439796436937e-73,7.09105927877554e-65,1.811869535368814e-57,3.804797265573874e-49,3.9330002629391754e-41,3.272801924865406e-34,3.9722869897922495e-28,7.427514398772352e-23,1.6349629536104181e-18,2.364958002792676e-18,1.224018075683554e-10,4.5324838977710746e-7,0.0002101516768321252,0.0172801219667013,0.2807942358644802,0.943753506903958,0.6691010033006352,0.10048581133525405,0.0031654833080068776,0.00002031012847866707,2.4752410025809544e-8,4.730802988712142e-12,5.4545943029270623e-17,2.4886281940513484e-21,1.1855950787489592e-25,4.248715481372072e-31,2.2615411028765587e-37,1.9157086552200752e-44,2.0646037787454247e-52,2.0593977957280566e-62,1.8883904027769208e-69,3.3790654262302103e-78,6.564684564371363e-88,1.9849608231184693e-98,9.304755725342455e-110,4.602056584516687e-122,8.334296659090758e-136,4.9960260329330155e-147,4.19108434237217e-160,4.563825544774943e-174,7.96086561143031e-189,2.073166485907449e-204,4.187993936935275e-221,7.008524271491236e-238,5.7675297622271215e-254,2.592312664248611e-271,1.6779155275162483e-289,1.763588185726595e-308,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-324,1.8814158330339356e-303,3.858861327757688e-284,1.0686450754688759e-265,4.385068799613749e-248,2.1555646166863873e-231,1.0096216024303302e-216,3.3140684162585536e-199,2.286220295533964e-183,1.611649136119119e-168,1.6672326879755552e-154,2.4934109832597907e-141,3.397066496734316e-129,6.2024101519326755e-118,4.8012938976781674e-105,1.0235604194394815e-93,2.812751877551523e-83,1.1769805254253973e-73,6.642826427614677e-65,1.7178437051610478e-57,3.519731490754596e-49,3.66666632235216e-41,3.0639264350097237e-34,3.735284699238615e-28,7.023786836929955e-23,1.5602557333816161e-18,5.031973470785307e-18,1.1612656505757277e-10,4.349393334262741e-7,0.00020351776355036983,0.016888923758605904,0.277100375957757,0.9409823408551536,0.6745403545616321,0.1025100867960288,0.0032707115588083684,0.00002127785374385673,2.63335913261675e-8,5.12713022664364e-12,6.139435145764973e-17,2.685125083320095e-21,1.322857610324353e-25,4.844250805590874e-31,2.6329534490798e-37,2.28044684300287e-44,2.525688698466942e-52,2.8996451878184907e-62,2.3271998950291686e-69,4.3038586926582594e-78,8.587841755079765e-88,2.666638343196765e-98,1.2864021523463273e-109,6.609981977425207e-122,1.0528620762884994e-135,7.261485162062589e-147,6.313830873011584e-160,7.098479039410894e-174,1.2789013122694163e-188,3.4512298736631055e-204,7.366064253623954e-221,1.157298428823232e-237,1.0228397849595476e-253,4.78397122677708e-271,3.2139607427870647e-289,3.5096544407561537e-308,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-324,1.9265050806989683e-303,3.902768374035988e-284,1.0686450754688764e-265,4.33987445878971e-248,2.113822551222179e-231,9.900194256939257e-217,3.186469080134103e-199,2.1839553072775222e-183,1.5300381077022334e-168,1.574305897570423e-154,2.3445658245640646e-141,3.190570668336044e-129,5.682024183677731e-118,4.442781222097365e-105,9.467461584464921e-94,2.6007449556443564e-83,1.088859489001089e-73,6.1605324216016596e-65,1.6160645952402913e-57,3.2221037416281842e-49,3.388395637360546e-41,2.846098342623301e-34,3.488343041366428e-28,6.602697925379076e-23,1.4818866759350216e-18,8.85098328757988e-18,1.0963568841522165e-10,4.158455724677719e-7,0.00019655311876505974,0.016475152268323804,0.27315532898984407,0.9379367865513735,0.6803566560184471,0.10470906449114284,0.003386463783855556,0.00002235620809632853,2.812081196541989e-8,5.582879619649381e-12,6.953775554832856e-17,2.9082533850265103e-21,1.4847347572990888e-25,5.56160108249369e-31,3.0894433000822725e-37,2.7384518983047386e-44,3.1201322013769484e-52,4.1130333436022125e-62,2.8954619926165776e-69,5.542380838075065e-78,1.1369828649053204e-87,3.6288288723377704e-98,1.8031814008283715e-109,9.636363954676996e-122,1.3296382744153697e-135,1.0711956237211854e-146,9.665806162459879e-160,1.1230216813380928e-173,2.0916419747517623e-188,5.854506271831209e-204,1.3215395754355537e-220,1.942259187760234e-237,1.8505567206969437e-253,9.016777649254442e-271,6.293180049462043e-289,7.146187936894508e-308,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-324,1.9265050806989686e-303,3.8588613277576906e-284,1.045723649313711e-265,4.207063888535339e-248,2.03274353942713e-231,9.580914409040375e-217,3.00420257741204e-199,2.0484120338893706e-183,1.4276060666787718e-168,1.4623860041831752e-154,2.170915563617983e-141,2.955070882964763e-129,5.113881599960763e-118,4.053338710152832e-105,8.643652710976459e-94,2.375842052042604e-83,9.961704167173556e-74,5.6558947638732305e-65,1.5084238559723492e-57,2.9188157809248667e-49,3.1037428370473077e-41,2.623183068882329e-34,3.235348228474761e-28,6.170026290042131e-23,1.4007318875834296e-18,1.38696182399872e-17,1.0299989838073561e-10,3.9613066837516733e-7,0.0001893033368296214,0.016040642910431974,0.26896658172936605,0.934602867794511,0.686546212099836,0.1070901361229725,0.003513532080985839,0.000023556700806917675,3.014121251445585e-8,6.1076472957030126e-12,7.92496650115449e-17,3.161701255969564e-21,1.676215426012476e-25,6.429324999559201e-31,3.653454806154201e-37,3.3172028323923204e-44,3.892230041274802e-52,5.876956138088766e-62,3.6367809008602274e-69,7.215999712883656e-78,1.5233850292880048e-87,5.002014976408834e-98,2.5625788880159444e-109,1.4258226500025826e-121,1.673741049482326e-135,1.6037286448145342e-146,1.50364430726976e-159,1.8070982935703848e-173,3.4825307980984e-188,1.011962643266434e-203,2.4182585258875858e-220,3.311839913930824e-237,3.4154741148030206e-253,1.735631184633916e-270,1.2596245992492105e-288,1.4887056394641745e-307,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-324,1.8814158330339353e-303,3.730079111627507e-284,1.0013437718132793e-265,3.994673224023058e-248,1.916908743147484e-231,9.14917651171678e-217,2.7772600945798865e-199,1.886411450951549e-183,1.3091411051389546e-168,1.3363251606373613e-154,1.9793924580676023e-141,2.698952659488879e-129,4.521219086469215e-118,3.646084967527403e-105,7.789333475108078e-94,2.1443036441738873e-83,9.012590922374733e-74,5.140383724320716e-65,1.3968384926874278e-57,2.616340568747723e-49,2.817987693681372e-41,2.3988770190679704e-34,2.9800436408389074e-28,5.731398886770416e-23,1.3176633250441803e-18,2.008233594030844e-17,9.628815380186325e-11,3.7595787725512306e-7,0.00018181482456893844,0.015587304015515262,0.2645421994815309,0.9309659548714381,0.6931046383026634,0.10966128520405818,0.003652796651195057,0.00002489241639729834,3.242634754545955e-8,6.712867711519963e-12,9.086916850151868e-17,3.449721039767839e-21,1.903449204107845e-25,7.48360259852293e-31,4.35412836621912e-37,4.053285135577704e-44,4.902729446635812e-52,8.458421515997467e-62,4.6110780823788064e-69,9.498226639657744e-78,2.0655555260980787e-87,6.983690261389386e-98,3.692103892228287e-109,2.1410731531423847e-121,2.0919639041214517e-135,2.4366135483202065e-146,2.3768219880737265e-159,2.957534626786357e-173,5.902595551536829e-188,1.782284613636089e-203,4.513007684287458e-220,5.735487430099304e-237,6.430269192993443e-253,3.4118333413442583e-270,2.5771231682061505e-288,3.1728417372586794e-307
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-324,1.7943754098739198e-303,3.5249133548989715e-284,9.382770187820369e-266,3.7151982628919006e-248,1.7726475090382575e-231,8.619434343320631e-217,2.5174864161994632e-199,1.7056818017385686e-183,1.1798679561457756e-168,1.2012574889686595e-154,1.7771546145129915e-141,2.4307583956329385e-129,3.92608928807354e-118,3.23363003829561e-105,6.928471192103981e-94,1.9120479304184442e-83,8.063326648077987e-74,4.624806514908567e-65,1.283196482018841e-57,2.3205101213016764e-49,2.5359829096842247e-41,2.176611862499733e-34,2.7259428260957982e-28,5.2921751260402967e-23,1.2335338407327752e-18,2.7429056413941117e-17,8.956652367932117e-11,3.554879976849739e-7,0.0001741343324528689,0.015117104695325645,0.2598908284043295,0.9270108356852593,0.7000267724193764,0.11243110630270765,0.003805234272565802,0.00002637822915431918,3.501293969383121e-8,7.412192946174413e-12,1.0481794447526629e-16,3.77720888296252e-21,2.1740411401406216e-25,8.770466291285101e-31,5.229493430572739e-37,4.995700228518048e-44,6.235513536905814e-52,1.2261888804231871e-61,5.901235231777012e-69,1.2639147577174805e-77,2.8341343110874744e-87,9.875775201355404e-98,5.39277760360417e-109,3.2627589613561702e-121,2.582445643730185e-135,3.756727339529193e-146,3.817461156277806e-159,4.922835839004669e-173,1.0183899153901718e-187,3.1982174502812176e-203,8.588817600515621e-220,1.0083850757563438e-236,1.2348424298503063e-252,6.8489308616638435e-270,5.389312513287802e-288
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-324,1.6712991392394107e-303,3.256482955482175e-284,8.603174485271773e-266,3.3843794025224786e-248,1.607466199423707e-231,8.00914344369036e-217,2.237562642752449e-199,1.5142527396894507e-183,1.0450703995939043e-168,1.0622577556137392e-154,1.5711512700954828e-141,2.1587261910074536e-129,3.3480823752067545e-118,2.827459631453074e-105,6.082791395900285e-94,1.6844157236385116e-83,7.13380375212483e-74,4.1189575586457915e-65,1.1693058154669125e-57,2.0363540445000277e-49,2.2620323221493117e-41,1.9594759812073567e-34,2.476256145016948e-28,4.857345707611807e-23,1.1491633176547845e-18,3.579671590234596e-17,8.289718152868431e-11,3.3487733769668197e-7,0.00016630849505740031,0.014632062269580973,0.25502169561009924,0.9227217947649969,0.7073065793727179,0.11540882393653147,0.003971927757441946,0.00002803105049193884,3.794377613844378e-8,8.22195743362712e-12,1.2162202701018396e-16,4.149792937818325e-21,2.4974276349958067e-25,1.0348740288146593e-30,6.32943949088608e-37,6.210476728910224e-44,8.007219172656293e-52,1.790397024309255e-61,7.622640896439701e-69,1.7002190878570682e-77,3.9349993507262465e-87,1.4144507857066608e-97,7.985011163964563e-109,5.045443200559937e-121,3.1250285927396825e-135,5.877222580857671e-146,6.22960113659013e-159,8.333371527081932e-173,1.7885049039219182e-187,5.847048373363886e-203,1.666740937822024e-219,1.7989832454448169e-236,2.4186427851477707e-252,1.4039189008328571e-269
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-324,1.5202155242495278e-303,2.941148352403412e-284,7.719047466360425e-266,3.0197395049058224e-248,1.4294052317625897e-231,7.337949802766717e-217,1.949996389018885e-199,1.3198758214911138e-183,9.097427203268903e-169,9.240361013392962e-155,1.3677437825585052e-141,1.890390015405765e-129,2.8033862059611125e-118,2.437457460633459e-105,5.270968674909494e-94,1.4659915339463632e-83,6.241133660946568e-74,3.6313487455747904e-65,1.056848935017648e-57,1.7679928089430965e-49,1.9998028678814912e-41,1.7501551205404148e-34,2.2338328502419185e-28,4.43144850434957e-23,1.065326198745486e-18,4.502358822643537e-17,7.63375403295919e-11,3.142758427292737e-7,0.00015838338326026733,0.014134229457636746,0.24994460742313948,0.9180826996221003,0.7149370501042911,0.11860431171832658,0.0041540764724859805,0.000029870114522370283,4.126877566693687e-8,9.161748784045446e-12,1.419397188565643e-16,4.573929246503953e-21,2.8853572726757366e-25,1.2293929203580612e-30,7.719761125769856e-37,7.787131955370344e-44,1.038116537304923e-51,2.633080953534133e-61,9.936989800691714e-69,2.3119886105642893e-77,5.5283214679783305e-87,2.0517218942665086e-97,1.198518847664232e-108,7.91675925689251e-121,3.665740811502717e-135,9.3292079655405e-146,1.0328422731030875e-158,1.434590089582646e-172,3.197073055187631e-187,1.0890354256942632e-202,3.2978735080926886e-219,3.254840820969494e-236,4.831501618415881e-252
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-324,1.3504023925987541e-303,2.596868629716288e-284,6.777085493088145e-266,2.6390628673828897e-248,1.2464004399067156e-231,6.626754757451162e-217,1.6662294468712369e-199,1.1295281052807108e-183,7.783010674857545e-169,7.906931312115196e-155,1.1724092928805211e-141,1.6322663043712276e-129,2.304233182701732e-118,2.0715879021850267e-105,4.5080935968606806e-94,1.2604869047793077e-83,5.399253533939276e-74,3.169026947602233e-65,9.473441072292614e-58,1.518586197523391e-49,1.75227134455581e-41,1.5508931202605321e-34,2.0011195849387564e-28,4.018503081000491e-23,9.827406435958e-19,5.4906044032649366e-17,6.993954551695846e-11,2.938254175896258e-7,0.00015040407774331507,0.013625681409861227,0.24466994417827095,0.9130770963078053,0.7229100942714363,0.12202811078373108,0.004353008016585377,0.000031917307663462645,4.5046260129916407e-8,1.0255110015126358e-11,1.6659751109139812e-16,5.057003979909514e-21,3.3525077558186525e-25,1.4703383574389466e-30,9.487692500911305e-37,9.84777764555409e-44,1.35876553725754e-51,3.900367645239869e-61,1.30723443838062e-68,3.1779076894621592e-77,7.858675999123212e-87,3.0140201408312003e-97,1.823483558186141e-108,1.2603811153380332e-120,4.0949634064013735e-135,1.502438777856632e-145,1.7397053813388626e-158,2.5114110910300297e-172,5.816773915479608e-187,2.066342236899279e-202,6.65265661303944e-219,5.968321543400767e-236
