1560,1559.7979797979797,1559.5959595959596,1559.3939393939395,1559.1919191919192,1558.989898989899,1558.7878787878788,1558.5858585858587,1558.3838383838383,1558.1818181818182,1557.9797979797981,1557.7777777777778,1557.5757575757577,1557.3737373737374,1557.171717171717,1556.969696969697,1556.7676767676767,1556.5656565656568,1556.3636363636365,1556.1616161616162,1555.959595959596,1555.7575757575758,1555.5555555555557,1555.3535353535353,1555.151515151515,1554.9494949494951,1554.7474747474748,1554.5454545454545,1554.3434343434344,1554.141414141414,1553.939393939394,1553.7373737373737,1553.5353535353534,1553.3333333333335,1553.1313131313132,1552.9292929292928,1552.7272727272727,1552.5252525252527,1552.3232323232323,1552.121212121212,1551.919191919192,1551.7171717171718,1551.5151515151515,1551.3131313131312,1551.1111111111113,1550.909090909091,1550.7070707070707,1550.5050505050506,1550.3030303030305,1550.1010101010102,1549.8989898989898,1549.6969696969695,1549.4949494949497,1549.2929292929293,1549.090909090909,1548.8888888888887,1548.6868686868688,1548.4848484848485,1548.2828282828282,1548.080808080808,1547.878787878788,1547.6767676767677,1547.4747474747473,1547.2727272727275,1547.0707070707072,1546.8686868686868,1546.6666666666665,1546.4646464646464,1546.2626262626263,1546.060606060606,1545.8585858585861,1545.6565656565658,1545.4545454545453,1545.2525252525252,1545.050505050505,1544.8484848484848,1544.6464646464647,1544.4444444444443,1544.2424242424242,1544.040404040404,1543.8383838383838,1543.6363636363637,1543.4343434343436,1543.2323232323233,1543.030303030303,1542.828282828283,1542.6262626262626,1542.4242424242425,1542.2222222222224,1542.0202020202023,1541.818181818182,1541.6161616161614,1541.4141414141413,1541.212121212121,1541.010101010101,1540.8080808080808,1540.6060606060607,1540.4040404040404,1540.2020202020203,1540
0.026374564518329147,0.0035544318178337827,0.008825010820689434,0.08102736831757432,0.24195448727885505,0.47737649262363907,0.7338502661450848,0.9359917815179921,1.0174513825696485,0.9503818920253568,0.7580894389722451,0.504219327027438,0.26430922112965227,0.09456722523534453,0.013214183019449975,0.0018252708141552382,0.022902646070492562,0.042054780272117745,0.04272489427648221,0.027679587207630973,0.009861005858240401,0.0005190754422456064,0.002199846351595451,0.00943143644647088,0.014549747436460963,0.013510470572566595,0.0077978057503332344,0.002049157773782536,0.0000059115416850363474,0.001986361091917054,0.005346097200226373,0.006989488443314825,0.005722104504625453,0.002770425161122389,0.0004289686990897483,0.00016200622770943846,0.0016511526346038971,0.0033296621918463866,0.0037585121516425482,0.0026837499818031787,0.001038615453807219,0.000055333486385073886,0.00028920578223776833,0.0012998690636534334,0.002130210726719915,0.0021046471861456096,0.0012991465924390572,0.00037622186097778537,1.2944696535410459e-8,0.00033226347367180584,0.0009785459759763771,0.0013629582679638413,0.0011891214103866917,0.0006270605158985401,0.00012169670797014995,0.000018723918100349743,0.000315372508085964,0.0007080662823827903,0.0008616522993149817,0.0006673237394343871,0.0002955802331473091,0.00003092529765428007,0.00004171438280536384,0.00026757367518287327,0.0004942640674312725,0.0005352216357438074,0.0003689144769417968,0.00013400303735237333,0.0000042283125717099565,0.00005283253982324055,0.00021006332373323341,0.0003338453294979535,0.00032589421095358296,0.00020005939623051247,0.00005761535392659,8.399473293557821e-9,0.00005263001737636897,0.00015542434268773204,0.00021878428509081098,0.00019442974457259277,0.00010623910358579028,0.00002312105930041111,0.000001710803742038619,0.000045630847079489636,0.00010959653874501632,0.00013947439650908322,0.00011373813788112511,0.000055249109408810136,0.000008471510367042586,0.000003604379408026842,0.0000360109952556697,0.00007420765551680733,0.00008671080684808901,0.0000653393242257417,0.000028180673480198088,0.0000027342298110682084,0.0000043450668475338525,0.000026493127430582998,0.000048513094839634045,0.00005270206624099347
0.04369145207270285,0.025911632828029246,0.0032689059921176297,0.00944780884214488,0.0831649928000309,0.245675414104561,0.4820083787490539,0.7381447286852343,0.938613789690371,1.0175594319203278,0.9480009599851269,0.7540841607130641,0.49988928889910594,0.2608254892254144,0.09253649528325245,0.012563581604439824,0.0020125136666729305,0.023288582350093318,0.04222015179541898,0.042585765255968105,0.027395023170844315,0.009641101906886914,0.00046979305608417304,0.0022840268864997115,0.009534928532502134,0.014580012059062956,0.0134538858922148,0.0077080672890084065,0.0019920696919556655,0.000009278390795434778,0.0020286843565676567,0.0053830770035454825,0.006991032570788713,0.00569108134703711,0.0027335555821824562,0.0004122461819882631,0.00017165595608198577,0.0016729006422278724,0.0033432369054315378,0.0037537760327573614,0.002666276520791786,0.0010225905993925441,0.000051393582740027064,0.00029715121066277715,0.0013107634845658297,0.002134603717858087,0.0020997053307842,0.0012895829313967625,0.0003694353858087984,8.490139691190169e-8,0.0003374871205021746,0.0009837097632527441,0.0013638445963797467,0.0011854762237946865,0.0006220860982137185,0.00011905539746893331,0.000019724595930987316,0.0003184063726259722,0.0007103167197705127,0.000861402542969012,0.0006650364147308685,0.00029316288023691436,0.000030053065812942564,0.00004262790407917799,0.0002691606268709064,0.0004951300795388209,0.0005347731425072754,0.00036764693137094874,0.00013292876386048014,0.000004030548336121183,0.00005342504660005804,0.00021080384515234494,0.00033411740733714187,0.0003255539774703165,0.00019944379875238343,0.00005719481901675675,1.4106364361554499e-8,0.00005293659897002557,0.00015572007519691373,0.00021884025606208385,0.0001942468996098359,0.00010599217062849016,0.000022988317096435092,0.0000017434263072666163,0.00004574934229957839,0.00010968469686034298,0.00013947462376307922,0.00011367561444748646,0.00005518620556925014,0.000008448041607582962,0.0000036152694666804024,0.000036028089979599565,0.00007421353509861227,0.00008671080684808901,0.00006534651629445658,0.000028195563616384643,0.0000027421567219940573,0.000004332934354411345,0.000026466576735572386,0.00004849514684209976
0.04220255824168804,0.04352631532873146,0.025456431047500738,0.002999294202909018,0.010079813291546601,0.08528463461853172,0.2493364790749145,0.4865405899286357,0.7423221075768307,0.9411368916479677,1.01762040552157,0.9456410993023684,0.7501596100235842,0.49567074055662474,0.2574483903472967,0.09058067061433857,0.011947416061542161,0.0022025380673507955,0.02366340007066922,0.042376423823010566,0.04244671483732687,0.027117753908607448,0.009429312934029762,0.0004243173326887683,0.002366921747066259,0.009634915490378737,0.014608120692320238,0.013398095094067811,0.007621076586298501,0.001937441387036806,0.000013253333017233498,0.002069881868671639,0.005418558684358854,0.0069920512266605,0.005660838135599571,0.002698040474251367,0.0003964088256068756,0.00018121084859144148,0.0016938894061012577,0.003356148460200534,0.0037490258609769425,0.0026493979198307324,0.0010072641314076447,0.000047746047326672766,0.00030486013030426055,0.0013211910797251917,0.0021387270388344357,0.002094900605960631,0.0012804267400818835,0.00036299974242763204,2.1232365585989436e-7,0.000342491277789112,0.00098860650969326,0.0013646472639091281,0.001181987539900746,0.0006173714886512397,0.0001165783143967822,0.000020694123105413544,0.00032127628347986583,0.0007124256971796613,0.0008611505461246468,0.0006628799946008862,0.00029090161776705614,0.000029248292150343846,0.000043488405401873104,0.0002706378833518523,0.0004959280626732361,0.0005343517065136839,0.00036647516308402887,0.00013194325307788453,0.0000038534508907518535,0.00005396826566237873,0.0002114763006664938,0.00033436122341004847,0.00032524593776514006,0.00019889282673316898,0.00005682211509091491,2.0361768566232088e-8,0.00005320531667353991,0.0001559760198449452,0.00021888759309216844,0.00019409180630660712,0.00010578643310885459,0.00002287997331708581,0.0000017697399920319653,0.00004584155189749502,0.0001097507459925266,0.00013947470875099322,0.00011363390310409692,0.000055148470758676996,0.000008436319053687546,0.000003618902903207203,0.00003602808997959958,0.00007420765551680704,0.00008671353596704418,0.00006536808842011764,0.00002822535088153363,0.0000027553936523564672,0.000004314763479554068,0.00002642940384476597
0.02624079193453725,0.042400968985914556,0.0433575838198922,0.025009275132829713,0.002745202458375285,0.010719678613730335,0.08738427947540275,0.2529357796786799,0.4909722763415977,0.7463832178983201,0.9435634919219268,1.0176375150780892,0.9433051927799206,0.7463173845913614,0.4915636419348316,0.25417659549101507,0.08869792866512304,0.011364175425565733,0.002394593660086343,0.02402708319116196,0.04252396012169046,0.04230808134295789,0.026847865829983893,0.009225490893534315,0.00038243319256353305,0.0024484112495176684,0.009731424525584795,0.014634184371279219,0.013343189223029857,0.007536842403107456,0.0018852115456798998,0.00001776492290158425,0.002109925594976671,0.005452567727711317,0.006992592328790839,0.005631404486779201,0.00266387255582955,0.0003814249748626602,0.00019064298597581522,0.0017141145491604603,0.0033684144975735346,0.0037442837048124304,0.002633123155421506,0.000992627507173456,0.00004437432573217661,0.0003123217377737867,0.0013311537518864848,0.00214259149513748,0.0020902429397302194,0.0012716797187979027,0.00035690853576136156,3.868986465207166e-7,0.0003472722388822607,0.00099323903448823,0.0013653723138436125,0.0011786595041635404,0.0006129161464780125,0.0001142614415157493,0.00002162860099771934,0.00032398132441580627,0.0007143954090553514,0.0008608994025187538,0.0006608559986540524,0.00028879553603585834,0.0000285087488904719,0.000044294223856932306,0.0002720054596403856,0.0004966593719104302,0.0005339587612645931,0.00036539960721244653,0.00013104581335686408,0.00000369592735672592,0.0000544615777379067,0.0002120808945467336,0.0003345774807495452,0.0003249706729770584,0.00019840654276745076,0.00005649685422525727,2.670751768407102e-8,0.00005343598522269738,0.0001561923281813793,0.00021892659055217897,0.00019396465435826798,0.00010562186982782711,0.00002279587008718506,0.000001789600919756689,0.00004590744086996581,0.00010979474552174658,0.00013947472874189552,0.00011361303876400137,0.00005513589373626966,0.000008436319053687538,0.0000036152694666804117,0.000036010995255669615,0.00007419000925303178,0.00008671897540909554,0.00006540402820279494,0.000028270049592246073,0.000002773978672308024,0.0000042905877116669555
0.008783358098433752,0.02659672553241946,0.042589631119728195,0.04318576189775774,0.024570458291270976,0.002506218341687726,0.01136606451368633,0.08946195132978113,0.2564714766613047,0.495302649899308,0.7503289039891464,0.9458959710341238,1.0176138986570828,0.9409960271247678,0.7425590001757019,0.4875679141057278,0.25100878708277097,0.08688649384172199,0.01081240433215691,0.0025879699024243304,0.02437962974247635,0.042663117666486734,0.04217018916536782,0.026585436591574908,0.009029488474613604,0.000343932602124668,0.0025283824680591184,0.009824484762198332,0.014658311310875435,0.013289255147894172,0.007455371400145028,0.0018353199623921857,0.000022744510652757155,0.002148789569252037,0.005485129568127462,0.006992702149251789,0.005602808384125329,0.002631044165580804,0.00036726392968265475,0.00019992577635210158,0.001733572320315962,0.0033800522412737767,0.0037395706837479916,0.0026174605519022117,0.0009786722981594482,0.00004126253071453561,0.00031952585270159507,0.0013406535171811805,0.002146207483229065,0.0020857417389166977,0.0012633433555022772,0.00035115558778709885,6.007345049543436e-7,0.00035182656250001154,0.0009976100846484748,0.0013660254872150846,0.001175495997504805,0.0006087195045070083,0.00011210096476968793,0.00002252437406359659,0.0003265206716665681,0.0007162279401635155,0.0008606520100961617,0.0006589658237942025,0.0002868437669892641,0.000027832358748872894,0.00004504382646440722,0.0002732633832558069,0.0004973252645376597,0.0005335956207551836,0.00036442065522716176,0.00013023580815289706,0.0000035569844832514686,0.00005490442714557315,0.00021261781491910292,0.00033476680863011877,0.0003247286979239005,0.00019798499987628998,0.00005621869589699786,3.27469889039992e-8,0.00005362844682512107,0.00015636912962000603,0.00021895749384887717,0.0001938655981881519,0.00010549846308733959,0.000022735884291651472,0.0000018029013769241623,0.00004594698417150198,0.000109816735338695,0.0001394747302727978,0.00011361303876400114,0.00005514847075867709,0.000008448041607582926,0.000003604379408026787,0.000035976808253188915,0.00007416057420122926,0.00008672708763548041,0.00006545431508396108,0.000028329680850993303,0.00000279796513107518
0.00030475200664953155,0.009045697216679225,0.026944175037921188,0.04276883401606537,0.043011342228764,0.02414025179808682,0.0022819127201377924,0.012017637763116356,0.09151571427581431,0.2599417938191146,0.49953098231284204,0.7541600359835893,0.9481366824107276,1.0175526196517486,0.9387162940461231,0.7388858935997348,0.48368344306850497,0.24794366224423614,0.08514463794790963,0.010290701784335696,0.0027819944694549006,0.024721050395014068,0.04279424623573826,0.04203334908479975,0.026330535462461946,0.008841159539919256,0.00030861457441891215,0.0026067289168430208,0.009914126982801983,0.014680606800374129,0.013236375628206872,0.00737666832865164,0.0017877076654873281,0.00002812621222230985,0.002186449759233456,0.005516269499561662,0.006992425303595724,0.005575076206529148,0.002599547324113857,0.0003538959669567626,0.00020903391843571476,0.0017522595385403405,0.0033910784526667605,0.0037349069676505457,0.0026024178265856004,0.0009653902120857005,0.00003839544850310072,0.00032646289711284974,0.001349692463623591,0.0021495849820918358,0.0020814058967620203,0.00125541894614616,0.0003457349585608111,8.463574922781319e-7,0.00035615106272782703,0.0010017223275833114,0.0013666122200399506,0.0011725006425914715,0.0006047809789982211,0.00011009327502079595,0.000023378027375495305,0.00032889358425251884,0.0007179252608970122,0.0008604110678088348,0.0006572107519611025,0.00028504548582489967,0.000027217195393124397,0.00004573580838117862,0.00027441169267845996,0.0004979268978703603,0.0005332634817585554,0.00036353865429738537,0.00012951265515838997,0.0000034357286026418208,0.000055296320494373615,0.0002130872325135415,0.00033492976401221144,0.0003245204615181126,0.00019762824117412823,0.00005598734717137553,3.814493137889946e-8,0.00005378257123239478,0.00015650653072511248,0.00021898049945490058,0.00019379475838772703,0.00010541619968610921,0.000022699928033227008,0.000001809569529783437,0.00004596016686754112,0.00010981673533869492,0.00013947472874189558,0.0001136339031040968,0.000055186205569250075,0.000008471510367042643,0.0000035862632497110417,0.00003592553396571659,0.0000741193133402089,0.00008673781640434653,0.00006551892006394883,0.00002840427281299803
0.0026084942468848384,0.0003544508145252347,0.009305287744357515,0.027283088930431385,0.042938869482392915,0.04283480547593776,0.023718905396407027,0.002071841485434554,0.012673074205092522,0.09354367281821213,0.2633450172443608,0.503656601920766,0.7578775053244847,0.9502879491767782,1.0174566658456303,0.9364685917367217,0.7352994259534987,0.47991008195294704,0.24497993299309975,0.08347068117861584,0.0097977203158759,0.002976031672376862,0.025051367277699115,0.0429176879771769,0.04189785849852141,0.026083224062972317,0.008660359429871341,0.00027628515014606423,0.0026833503418754842,0.010000383346951951,0.014701173145380109,0.013184629454218843,0.007300736216619399,0.001742316976173032,0.00003384687656592948,0.00222288396435962,0.005546012590319774,0.006991804742975871,0.005548232798194047,0.0025693738131688515,0.0003412923720731586,0.0002179433795660674,0.0017701735366765846,0.003401509411417371,0.0037303117917097607,0.002588002106215086,0.0009527731335517822,0.000035758538577099035,0.00033312387256689217,0.001358272741693011,0.002152733539398802,0.0020772438012641734,0.0012479076120422657,0.00034064094975092896,0.000001116709328746345,0.00036024279477636103,0.0010055783355587672,0.001367137641613757,0.0011696768102232562,0.0006010999783500009,0.00010823497476012088,0.000024186383205834437,0.0003310994015514473,0.0007194892234651021,0.0008601790786679316,0.0006555919523502451,0.0002833999181338744,0.000026661484280382615,0.000046368889906888604,0.0002754504330289202,0.0004984653292480133,0.000532963423926361,0.0003627539113453134,0.00012887583022646494,0.0000033313656852958613,0.000055636825573637875,0.00021348929946786,0.00033506682984959835,0.00032434634744778613,0.00019733630214489943,0.00005580256303186686,4.262727363431162e-8,0.00005389825472454997,0.00015660461455850767,0.00021899575461591128,0.00019375222037549725,0.00010537507012473482,0.00002268794850246324,0.0000018095695297834264,0.00004594698417150208,0.0001097947455217465,0.00013947470875099328,0.00011367561444748651,0.00005524910940881011,0.000008506772809850745,0.0000035609720042720902,0.00003585718004295883,0.00007406617508392174,0.00008675108657079361,0.00006559780573465261
0.009952445982308251,0.0024982044510812526,0.0004067342565513471,0.00956186822490437,0.027613426303235964,0.043100030963859996,0.04265661999650075,0.023306648419361694,0.0018755471834514105,0.013331060586586297,0.09554397357709561,0.2666794939759462,0.5076788917487297,0.761482222425552,0.9523520621172945,1.0173289485665729,0.9342554265007291,0.7318008854219249,0.47624765456418056,0.24211632985285364,0.08186299149053874,0.00933216472088343,0.003169480851606982,0.025370612790957398,0.043033777045872336,0.04176400180196921,0.025843556762685536,0.008486945351654535,0.0002467573663795884,0.002758152414099427,0.010083287155910933,0.014720109577181003,0.013134091556167089,0.007227576520714573,0.0016990916384648303,0.00003984605144723297,0.00225807171265488,0.005574383608895892,0.006990881746323262,0.005522301531644546,0.0025405152328573186,0.00032942545120668036,0.00022663136237095676,0.0017873121254011483,0.0034113608812655015,0.003725803462574915,0.0025742199742851374,0.0009408131386266849,0.000033337938902827064,0.0003395003448357604,0.0013663965316926372,0.0021556622716123112,0.0020732633485202575,0.0012408103178938059,0.00033586811740456195,0.0000014051442304914274,0.00036409904390883344,0.0010091805801076441,0.0013676065744819006,0.0011670276251584438,0.0005976759107641734,0.00010652287779282688,0.000024946497593478264,0.00033313753441642735,0.0007209215575001421,0.0008599583494183231,0.0006541104864651549,0.0002819063407692716,0.00002616360304242154,0.00004694191470737824,0.00027637965293374087,0.0004989415131181322,0.000532696410491735,0.00036206669411472785,0.00012832486791183002,0.0000032432010279762145,0.00005592556967915928,0.00021382414851122441,0.00033517841572620725,0.0003242066746597134,0.00019710921059509754,0.00005566414712292177,4.598100856488182e-8,0.00005397541994100949,0.0001566634410428565,0.00021900335769582652,0.00019373803527439017,0.00010537507012473478,0.000022699928033227,0.0000018029013769241691,0.00004590744086996578,0.00010975074599252644,0.0001394746237630791,0.00011373813788112525,0.00005533720082560402,0.00000855390004278487,0.000003528577173342687,0.00003577175690426135,0.00007400109320417064,0.00008676680417246137
0.014830749105036444,0.009824007133448456,0.0023921539391070527,0.0004613584952288168,0.00981518696068472,0.027935156214098804,0.04325261288752997,0.04247724165043134,0.0229036902840022,0.0016925607222467909,0.013990296447023431,0.09751480555044374,0.2699436312278122,0.5115972859903261,0.7649751123023609,0.9543312758993029,1.0171723019922216,0.9320792138281546,0.7283914898797117,0.47269595933946323,0.23935160339261147,0.08031998573292072,0.00889279116087184,0.003361774915899571,0.025678828475246687,0.04314283919808938,0.041632050634477315,0.025611581284039814,0.00832077664474269,0.00021985124814038616,0.0028310464787915943,0.010162872584904595,0.01473751218464675,0.013084833090047392,0.007157189279946677,0.0016579768689129457,0.00004606594566403613,0.0022919941493907614,0.005601406924616112,0.006989695924728788,0.00549730436909963,0.0025129630796921114,0.000318268566667197,0.00023507627671754712,0.0018036735341613562,0.0034206480815899745,0.0037213993709016673,0.0025610774946601797,0.0009295025348711372,0.00003112046642982818,0.0003455844222188368,0.0013740660291698624,0.002158379847128404,0.0020694719483256288,0.0012341278870519933,0.00033141128423749426,0.0000017054259164110727,0.00036771731489396446,0.0010125314202593942,0.0013680235321745467,0.0011645559774727844,0.0005945081946073107,0.00010495401645644817,0.00002565565679795875,0.00033500746071728514,0.0007222238672965564,0.0008597509917522967,0.0006527673113889919,0.00028056408653993117,0.000025722082281423684,0.000047453847905846285,0.00027719940328999477,0.0004993563007891472,0.0005324632902890901,0.0003614772335663743,0.00012785936194425373,0.0000031706395519634942,0.000056162239454671784,0.00021409189139423956,0.0003352648565743934,0.00032410169772936526,0.0001969469877415512,0.00005557195201514508,4.805405439851258e-8,0.00005401401524893122,0.0001566830458354717,0.00021900335769582633,0.0001937522203754974,0.00010541619968610933,0.000022735884291651506,0.000001789600919756667,0.000045841551897495095,0.00010968469686034303,0.00013947439650908333,0.00011382142116199972,0.00005545050579714152,0.000008612986757439093,0.0000034891707986430574,0.000035669277637226686,0.00007392398693971548
0.013500491705217435,0.01479636399534638,0.0096977445019725,0.0022902687450357334,0.0005180827554189504,0.01006500190515253,0.028248257181384958,0.04339690989935334,0.04229711357571071,0.022510221365709817,0.0015224029730776304,0.014649495825636438,0.09945440120159721,0.2731358961657366,0.5154112686861857,0.7683571125956934,0.9562278082331567,1.0169894825021217,0.9299422799863472,0.7250723898495798,0.4692547705514446,0.23668452554484842,0.07884012898778549,0.00847840600636776,0.0035523788809423635,0.025976063947214807,0.04324519162240156,0.04150226422437665,0.025387339152919478,0.00816171512392909,0.00019539373426872924,0.0029019493444403213,0.010239174490117997,0.014753473879458336,0.013036921557532782,0.007089573291480454,0.0016189194493052817,0.00005245139556068108,0.0023246339664950806,0.005627106459795236,0.006988285210351157,0.005473261902540978,0.002486708786905862,0.00030779613927500233,0.00024325771591049232,0.001819256375234022,0.003429385671358138,0.0037171159943562237,0.002548580242628309,0.0009188338696396535,0.00002909361846046293,0.00035136873733895797,0.0013812834215324692,0.002160894486432831,0.0020658765346290046,0.001227861013842688,0.0003272655441359072,0.000002011724969590725,0.00037109532351110245,0.0010156330964806693,0.0013683927201787976,0.0011622645225709098,0.0005915962605180639,0.00010352563964333353,0.000026311376267463055,0.00033670872061007483,0.0007233976280094103,0.0008595589227812948,0.0006515632826523926,0.00027937254616983425,0.00002533560624103184,0.00004790377401452273,0.00027790973433634646,0.000499710439776693,0.0005322647964297783,0.0003609857243591385,0.00012747896718753822,0.0000031131852252788295,0.00005634657955466742,0.0002142926187087565,0.0003353264136160088,0.00032403160706265163,0.00019684964830891762,0.0000555258791120711,4.8755201766455355e-8,0.00005401401524893104,0.00015666344104285662,0.00021899575461591155,0.0001937947583877272,0.00010549846308733981,0.000022795870087185082,0.000001769739992031978,0.00004574934229957828,0.00010959653874501617,0.00013947391861010388,0.00011392539420643912,0.000055589057095051884,0.000008684151251679963,0.0000034428656832511718,0.00003554975882323869
0.007646442818343701,0.013574525353142521,0.0147607792780841,0.009573753110007714,0.0021924712346156642,0.0005766696304456292,0.010311080567329255,0.02855271653387167,0.043533216209611376,0.0421166660988946,0.022126413786692847,0.00136458643849465,0.015307388757647557,0.10136103701687188,0.27625481367718546,0.5191203695159926,0.7716291691053744,0.958043835826717,1.0167831680940957,0.9278468637942747,0.7218446723727601,0.4659238421108758,0.2341138909667842,0.07742193557410165,0.008087864897291406,0.0037407884331156346,0.026262375867778347,0.043341142479539824,0.041374889670757344,0.025170866226216518,0.008009625310126937,0.00017321865214555234,0.0029707829773596268,0.010312228143850037,0.014768084320005918,0.01299042093068567,0.007024726247590964,0.0015818677965082394,0.000058949824468057865,0.002355975270756629,0.005651505593691412,0.006986685863770917,0.005450193435935335,0.0024617438034761443,0.0002979836783663601,0.0002511564203281449,0.0018340595903291368,0.003437587716697135,0.0037129689169223073,0.0025367333360284765,0.0009087999630403245,0.00002724557315946051,0.0003568464317840797,0.0013880508658213107,0.0021632139527245284,0.0020624835755191136,0.0012220102845693183,0.0003234262737006055,0.000002318615541779066,0.00037423098391796113,0.0010184877202640164,0.0013687180317833321,0.0011601556900708674,0.0005889395649268086,0.0001022352197011307,0.000026911395981956305,0.0003382409099593559,0.0007244441819900795,0.0008593838653547174,0.0006504991582211422,0.0002783311722601716,0.00002500301307250295,0.000048290895335132775,0.00027851069339161023,0.0005000045714225125,0.0005321015492218051,0.00036059232720938374,0.00012718340009173086,0.000003070441476978409,0.000056478391835386807,0.00021442639865154432,0.00033536327319333995,0.00032399653020255255,0.00019681720089804457,0.00005552587911207107,4.8054054398513575e-8,0.00005397541994100966,0.0001566046145585075,0.0002189804994549009,0.00019386559818815237,0.00010562186982782709,0.00002287997331708577,0.0000017434263072666205,0.00004563084707948973,0.00010948619213627393,0.00013947305070273366,0.00011404996916674156,0.00005575289491059748,0.000008767535391098667,0.0000033897954346703142
0.0019327869575665208,0.007760612165339459,0.013645352999090133,0.014724145563159608,0.009452121861171591,0.0020986805149100073,0.0006368853723299054,0.010553199880585508,0.028848529892674432,0.04366182498290928,0.04193631653926319,0.02175242223209251,0.0012186167722662206,0.015962723203921354,0.10323303403805242,0.2792989665546384,0.52272416297608,0.7747922335446683,0.9597814934867598,1.0165559580040984,0.925795117376493,0.7187093611675338,0.4627029093700293,0.23163851987933443,0.07606396832834132,0.007720071555641338,0.003926528596705234,0.026537827013860392,0.04343099079212161,0.041250162285907416,0.0249621930639939,0.007864374701701914,0.0001531666620278852,0.0030374743225237218,0.010382069076623378,0.014781429886255339,0.012945391736358638,0.006962644857128336,0.0015467720257908494,0.00006551120627095028,0.0023860035244668626,0.005674627119599962,0.006984932473936914,0.005428116997568592,0.002438059623103885,0.000288807786857152,0.0002587542614169363,0.0018480824333533933,0.003445267677278324,0.0037089728296513247,0.002525541459905139,0.0008993939263374202,0.000025565190087873024,0.0003620111391352917,0.0013943704812740623,0.002165345546236483,0.0020592990798006137,0.0012165761846780231,0.00031988913550564784,0.0000026210730035929152,0.00037712240107969655,0.0010210972680758418,0.0013690030513880953,0.0011582316882360643,0.0005865375871829871,0.0001010804507451273,0.000027453678887865957,0.00033960367767339836,0.0007253647384869785,0.0008592273508538209,0.0006495755998807755,0.0002774394806436259,0.00002472329502319857,0.000048614531151849736,0.00027900232322442285,0.0005002392319980758,0.0005319740549338076,0.0003602971692217387,0.00012697243939323582,0.000003042110867142712,0.000056557535709612264,0.00021449327711415596,0.0003353755471588502,0.0003239965302025529,0.00019684964830891705,0.00005557195201514505,4.598100856488014e-8,0.0000538982547245499,0.00015650653072511224,0.00021895749384887728,0.0001939646543582679,0.00010578643310885461,0.000022988317096435126,0.0000017108037420386124,0.00004548611185967405,0.00010935355839266752,0.00013947162247215,0.00011419504008829733,0.00005594206544317881,0.000008863304319853283
0.000014955539281049189,0.0020044794558171475,0.00787205119169157,0.01371305903402813,0.014686609709868638,0.009332933804151684,0.0020088128429841968,0.0006985001766101847,0.010791146004022915,0.029135700519728004,0.04378302768404023,0.04175646920150612,0.021388384774067536,0.0010839943854898803,0.016614266366580553,0.10506875880155211,0.2822669938961239,0.5262222647018677,0.7778472608750475,0.9614428710388851,1.0163103722688156,0.9237891083010122,0.715667421397365,0.459591693395942,0.22925725804834424,0.07476483929560526,0.00737397698920934,0.004109152434022919,0.026802485428468976,0.04351502615152763,0.041128305862403534,0.024761345426465575,0.00772583406441558,0.00013508519886718583,0.003101955048388357,0.010448732848402375,0.014793593629378076,0.012901891158973841,0.006903325011853987,0.0015135840134117813,0.00007208802436593207,0.002414705442035958,0.005696493172722835,0.0069830579576093555,0.005407049433085223,0.002415647857460902,0.00028024617940724546,0.000266034205172286,0.0018613244043224758,0.003452438382769811,0.003705141546481241,0.002515008889811001,0.0008906091764320442,0.00002404201004208893,0.0003668569687969795,0.0014002443236352266,0.0021672961005962227,0.0020563286048003535,0.0012115591130279252,0.00031665008898982525,0.0000029144708790262247,0.0003797678633187646,0.0010234635742993117,0.001369251051973276,0.0011564945093092108,0.0005843898433971779,0.00010005925295162625,0.000027936409193486303,0.0003407967220878427,0.0007261603684794426,0.0008590907153625212,0.0006487931769052178,0.00027669705232159547,0.00002449559883118808,0.000048874115779565073,0.00027938466134191264,0.0005004148508967744,0.0005318827069305787,0.00036010034517295665,0.0001268459263343951,0.000003027995108759734,0.00005658392633605567,0.0002144932771141559,0.0003353632731933399,0.0003240316070626517,0.0001969469877415512,0.000055664147122922095,4.262727363431427e-8,0.000053782571232394815,0.00015636912962000603,0.00021892659055217924,0.00019409180630660736,0.00010599217062849034,0.000023121059300411218,0.000001672052334114248,0.00004531519296697866,0.0001091985199040615,0.00013946943252346385,0.00011436048259620373,0.0000561566214640432
